연도,행정구역명,군집,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야면적_변화량,농경지면적_변화량,대지면적_변화량,공장용지면적_변화량
2023,충주시,농업/산림형,75.99,19.28,3.4,1.34,-0.05000000000001137,-0.14999999999999858,0.1499999999999999,0.06000000000000005
2024,괴산군,농업/산림형,80.57,17.12,1.81,0.5,-0.05000000000001137,-0.019999999999999574,0.040000000000000036,0.030000000000000027
2024,단양군,농업/산림형,88.66,10.05,0.97,0.32,0.01999999999999602,-0.03999999999999915,0.020000000000000018,0.0
2024,보은군,농업/산림형,76.67,21.04,1.86,0.43,-0.010000000000005116,-0.010000000000001563,0.010000000000000009,0.0
2024,영동군,농업/산림형,84.98,13.36,1.38,0.27,0.010000000000005116,-0.02000000000000135,0.009999999999999787,0.0
2024,옥천군,농업/산림형,75.55,21.38,2.43,0.64,0.03999999999999204,-0.07000000000000028,0.020000000000000018,0.010000000000000009
2024,음성군,도시/산업형,60.47,29.81,4.02,5.69,-0.10000000000000142,-0.08999999999999986,0.04999999999999938,0.1200000000000001
2024,제천시,농업/산림형,83.29,13.91,2.23,0.57,0.0,-0.02999999999999936,0.029999999999999805,0.0
2024,증평군,균형형,57.82,32.37,6.73,3.08,0.030000000000001137,-0.2700000000000031,0.07000000000000028,0.16000000000000014
2024,진천군,도시/산업형,65.81,26.3,3.57,4.31,-0.01999999999999602,-0.03999999999999915,0.04999999999999982,0.0
2024,청주 상당구,농업/산림형,76.7,18.81,4.21,0.27,0.07000000000000739,-0.13000000000000256,0.040000000000000036,0.010000000000000009
2024,청주 서원구,균형형,59.27,26.07,11.59,3.07,0.020000000000003126,-0.21999999999999886,0.17999999999999972,0.020000000000000018
2024,청주 청원구,도시/산업형,45.12,40.17,9.28,5.43,-0.14000000000000057,-0.3299999999999983,0.3199999999999985,0.14999999999999947
2024,청주 흥덕구,도시/산업형,43.84,36.61,11.47,8.08,-0.05999999999999517,-0.11999999999999744,0.14000000000000057,0.05000000000000071
2024,충주시,농업/산림형,75.98,19.23,3.43,1.36,-0.009999999999990905,-0.05000000000000071,0.03000000000000025,0.020000000000000018
2025,괴산군,농업/산림형,80.56,17.11,1.83,0.5,-0.009999999999990905,-0.010000000000001563,0.020000000000000018,0.0
2025,단양군,농업/산림형,88.67,10.03,0.98,0.32,0.010000000000005116,-0.02000000000000135,0.010000000000000009,0.0
2025,보은군,농업/산림형,76.67,21.03,1.87,0.43,0.0,-0.00999999999999801,0.010000000000000009,0.0
2025,영동군,농업/산림형,85.01,13.33,1.39,0.27,0.030000000000001137,-0.02999999999999936,0.010000000000000009,0.0
2025,옥천군,농업/산림형,75.52,21.34,2.49,0.64,-0.030000000000001137,-0.03999999999999915,0.06000000000000005,0.0
2025,음성군,도시/산업형,60.32,29.79,4.09,5.8,-0.14999999999999858,-0.019999999999999574,0.07000000000000028,0.10999999999999943
2025,제천시,농업/산림형,83.29,13.88,2.26,0.57,0.0,-0.02999999999999936,0.029999999999999805,0.0
2025,증평군,균형형,57.84,32.3,6.76,3.1,0.020000000000003126,-0.07000000000000028,0.02999999999999936,0.020000000000000018
2025,진천군,도시/산업형,65.8,26.25,3.62,4.34,-0.010000000000005116,-0.05000000000000071,0.050000000000000266,0.03000000000000025
2025,청주 상당구,농업/산림형,76.68,18.78,4.26,0.28,-0.01999999999999602,-0.029999999999997584,0.04999999999999982,0.010000000000000009
2025,청주 서원구,균형형,59.17,25.94,11.74,3.15,-0.10000000000000142,-0.129999999999999,0.15000000000000036,0.08000000000000007
2025,청주 청원구,도시/산업형,44.74,39.94,9.45,5.87,-0.37999999999999545,-0.23000000000000398,0.16999999999999993,0.4400000000000004
2025,청주 흥덕구,도시/산업형,43.63,35.91,11.96,8.49,-0.21000000000000085,-0.7000000000000028,0.4900000000000002,0.41000000000000014
2025,충주시,농업/산림형,75.92,19.13,3.48,1.47,-0.060000000000002274,-0.10000000000000142,0.04999999999999982,0.10999999999999988
